,time,high,low,open,close,liquidate_long,liquidate_short,TradingVolume_usd,OpenInterest_long,OpenInterest_short,leverage_long,leverage_short,Less than 1.1X,1.1X - 5X,5X - 10X,10X - 15X,15X - 20X,20X - 25X,25X - 30X,30X - 35X,35X - 40X,40X - 45X,45X - 50X,More than 50X
4648,2023-04-08,28160.84,27868.97,27910.62,27953.79,0.0,0.0,1068314.0,49798673.043346405,31603795.276904374,66.2,116.19047619047619,0.0,26415.5,0.0,0.0,8142.0,9408.0,22700.0,0.0,38756.0,0.0,0.0,34186.0
4649,2023-04-09,28540.31,27819.81,27953.79,28341.05,21980.0,58428.0,4791317.0,46406969.9840701,36331858.68386159,89.74626865671642,78.0,0.0,18531.5,17983.25,58634.0,9880.0,11124.0,20558.85714285714,0.0,48862.0,52626.0,0.0,40621.448979591834
4650,2023-04-10,29774.9,28185.87,28341.05,29654.81,24750.0,117360.0,33925094.0,52428314.059080936,31691413.08732372,91.86238532110092,76.17575757575757,0.0,23205.285714285714,33826.92307692308,31456.428571428572,16201.7,29491.214285714286,28690.0,37937.9375,147980.0,18960.571428571428,63972.0,167079.12365591398
4651,2023-04-11,30555.43,29610.52,29654.81,30226.1,687326.0,157330.0,15697828.0,54209705.4771371,30973791.74731908,99.71649484536083,83.7514450867052,0.0,23873.428571428572,25367.42105263158,19771.571428571428,10359.272727272728,22263.0,32562.0,54768.5625,78277.5,11318.0,7958.0,46913.76978417266
4652,2023-04-12,30501.9,29702.95,30226.1,29905.2,636664.0,282540.0,15259319.0,52321221.99812724,28491553.80588216,81.64864864864865,74.02877697841727,0.0,27466.4,27532.444444444445,31017.08,41095.53333333333,84664.0,48146.933333333334,27712.571428571428,9006.5,19360.0,23160.666666666668,53449.51960784314
4653,2023-04-13,30590.87,29881.39,29905.2,30404.37,67125.0,37536.0,6694301.0,51705318.84502769,38626744.34958598,84.78947368421052,83.02380952380952,0.0,20300.0,11205.25,42136.88888888889,16170.857142857143,32581.2,48432.28571428572,25362.0,76935.0,17410.0,11373.0,40486.41935483871
4654,2023-04-14,31023.78,30017.62,30404.37,30493.01,1697568.0,88620.0,26240623.0,56938975.223534174,31625534.53429263,86.08426966292134,66.28,0.0,84608.0,90147.33333333333,51478.565217391304,63389.416666666664,58103.25,62146.3,232135.61111111112,100362.0,72873.09090909091,43611.5,96957.77906976744
4655,2023-04-15,30611.18,30240.41,30493.01,30321.23,6900.0,0.0,2124889.0,58418998.55335053,31450526.04197617,90.76315789473684,72.08333333333333,0.0,12168.0,0.0,10700.0,0.0,0.0,55125.5,16525.333333333332,51030.0,74185.33333333333,0.0,44973.11111111111
4656,2023-04-16,30562.23,30152.86,30321.23,30322.77,23170.0,0.0,6884594.0,63711020.06312852,30217096.08654949,101.98333333333333,86.0909090909091,0.0,18810.0,9398.5,0.0,0.0,9840.0,60488.8,9964.5,0.0,30720.0,13630.0,97338.69696969698
4657,2023-04-17,30329.15,29260.88,30322.77,29446.77,350290.0,9900.0,13981420.0,52046226.92533698,30995016.571392097,73.0650406504065,85.02222222222223,0.0,23204.333333333332,28344.0,30780.25,25417.8,29287.5,61268.625,41978.454545454544,17575.428571428572,21213.333333333332,681000.0,93218.6530612245
4658,2023-04-18,30487.36,29141.12,29446.77,30396.77,841660.0,42018.0,11043645.0,55410654.72514016,31263444.30141144,70.00735294117646,65.10909090909091,0.0,19512.833333333332,19169.8,60239.28571428572,10863.285714285714,53497.0,10958.857142857143,38490.692307692305,22349.75,69942.85714285714,16229.454545454546,83625.74725274726
4659,2023-04-19,30418.14,28613.35,30396.77,28828.2,1099882.0,134542.0,19045492.0,40723849.54263856,31918266.77417044,75.40086206896552,68.35555555555555,0.0,17165.0,17574.666666666668,22079.8,10478.333333333334,28997.933333333334,24184.5,28619.571428571428,10932.5,60722.666666666664,53519.666666666664,79787.81818181818
4660,2023-04-20,29094.52,28009.24,28828.2,28245.06,25432.0,856360.0,8223373.0,40755190.87294512,36000823.78305633,75.23448275862069,88.43373493975903,0.0,32067.0,21812.75,14171.882352941177,11607.09090909091,32803.71428571428,24356.266666666666,25246.571428571428,28089.0,11018.222222222223,53208.0,43995.39189189189
4661,2023-04-21,28360.43,27159.82,28245.06,27260.85,184000.0,159580.0,10197426.0,41235293.48597625,40597733.70038803,74.04861111111111,78.6,0.0,74473.4,56811.333333333336,16505.133333333335,24045.46153846154,41090.0,35066.2,28010.6,80801.2,11440.0,108110.0,47439.09027777778
4662,2023-04-22,27882.99,27149.05,27260.85,27818.87,434078.0,94656.0,12271309.0,42947741.25144669,45722499.19809379,80.9375,76.79591836734694,0.0,51807.5,61865.0,31183.4,137559.5,58280.444444444445,41234.0,13381.193548387097,43506.0,21254.75,32993.5,102495.66315789474
4663,2023-04-23,27822.64,27356.31,27818.87,27596.71,144230.0,54288.0,2183377.0,40686500.79052151,46231038.74603866,46.583333333333336,70.11864406779661,0.0,10040.0,20623.14285714286,41824.4,7575.0,12661.5,12250.0,9128.0,0.0,7760.0,11437.5,25788.134615384617
4664,2023-04-24,27989.5,27015.4,27596.71,27520.33,71984.0,60100.0,16360141.0,46573829.83950134,44734139.984043874,97.3913043478261,89.69090909090909,0.0,7470.0,34363.5,18181.2,49259.25,14175.857142857143,16111.57142857143,11366.4375,14934.0,7760.0,8477.0,85233.60227272728
4665,2023-04-25,28396.41,27202.16,27520.33,28308.39,228472.0,150520.0,20846071.0,49731389.642455295,46680549.85732116,89.83333333333333,94.4551282051282,0.0,7525.0,21405.25,47105.166666666664,431887.75,41066.5,163095.125,52532.291666666664,55856.0,11373.333333333334,95420.66666666667,78998.97159090909
4666,2023-04-26,30017.37,27262.37,28308.39,28433.41,375844.0,1437236.0,33872319.0,45889391.19899202,35548744.4808758,78.08088235294117,97.97602739726027,0.0,8971.2,28062.7,40734.604166666664,81369.84210526316,28667.911111111112,32964.80952380953,27017.375,22460.0,149882.66666666666,47846.0,68384.93539325842
4667,2023-04-27,29891.79,28395.94,28433.41,29485.09,136700.0,232188.0,11737556.0,43832207.41440099,32997596.42050396,76.81318681318682,100.58974358974359,0.0,20294.428571428572,22695.85714285714,20141.533333333333,29426.666666666668,25849.333333333332,14875.0,21902.5,41677.5,513589.0,13488.0,44361.96503496503
4668,2023-04-28,29604.84,28922.6,29485.09,29339.91,0.0,15900.0,5117702.0,43186743.525068015,30797501.22222648,89.87142857142857,76.63513513513513,0.0,27411.166666666668,34843.6,31888.75,7410.0,13783.5,27384.0,82502.57142857143,83012.75,14582.0,13530.333333333334,30777.782608695652
4669,2023-04-29,29463.49,29090.83,29339.91,29250.94,7976.0,0.0,6236834.0,47781701.19634406,30866004.003203426,82.16279069767442,84.3157894736842,0.0,21944.14285714286,32738.333333333332,12160.0,7410.0,9384.0,0.0,1917390.0,73799.5,0.0,23298.333333333332,48222.0
4670,2023-04-30,29963.23,29110.79,29250.94,29234.41,1949514.0,0.0,8166906.0,49419048.253985226,30504235.84383768,72.22857142857143,95.1304347826087,0.0,18996.666666666668,27965.333333333332,21490.5,12671.25,667207.3333333334,0.0,133477.75,80916.25,69970.0,55569.25,97601.0
4671,2023-05-01,29340.17,27679.83,29234.41,28086.19,8359410.0,256600.0,47281721.0,46894122.51848287,36154505.87913251,68.9205298013245,85.8641975308642,0.0,14861.666666666666,27061.5,44257.27272727273,102256.38888888889,107618.76,87045.0,259263.8125,354603.8333333333,13948.0,33442.0,270329.11627906974
4672,2023-05-02,28896.62,27897.95,28086.19,28694.85,1182326.0,0.0,11320184.0,46638938.6570789,33420481.513172977,72.97222222222223,77.56363636363636,0.0,132725.33333333334,104546.0,503311.3333333333,7790.666666666667,12676.692307692309,14340.0,26265.0,57951.5,40792.666666666664,50848.666666666664,87315.12162162163
4673,2023-05-03,29274.35,28155.84,28694.85,29041.0,144098.0,0.0,8193323.0,46306690.32913258,30163896.46326713,57.75609756097561,59.794117647058826,0.0,22586.333333333332,22098.375,15704.0,17268.944444444445,50946.666666666664,19199.333333333332,44328.666666666664,86527.33333333333,69233.0,36809.42857142857,81590.5223880597
4674,2023-05-04,29370.41,28703.83,29041.0,28866.54,0.0,0.0,1985394.0,53242418.63066551,31428438.432011843,50.78048780487805,42.89655172413793,0.0,34464.5,22574.0,14150.0,18665.4,72160.0,33112.6,8780.0,39764.5,0.0,0.0,26402.869565217392
4675,2023-05-05,29697.23,28853.1,28866.54,29550.84,0.0,0.0,5474408.0,50806192.83807111,34156380.704420574,61.81666666666667,82.53061224489795,0.0,21345.85714285714,29396.125,63661.6,16869.8,89178.85714285714,134775.0,8172.0,180861.5,0.0,116865.0,45429.1746031746
4676,2023-05-06,29857.86,28459.77,29550.84,28943.94,0.0,15900.0,7049362.0,49937355.07432401,32954660.99291827,69.51470588235294,83.77272727272727,0.0,11010.0,10398.4,21058.875,12470.222222222223,80304.6,80305.5,14138.4,11739.0,0.0,0.0,124022.55319148937
4677,2023-05-07,29207.72,28547.14,28943.94,28574.43,0.0,0.0,7363142.0,47443530.78659606,34065966.39148975,82.87179487179488,86.27272727272727,0.0,12292.0,107870.0,195964.4,7410.0,170649.81818181818,207682.4,9270.0,7566.0,0.0,0.0,97473.0
4678,2023-05-08,28785.25,27408.28,28574.43,27781.0,2899078.0,7950.0,19077936.0,45681097.64841643,39124649.31009288,59.8974358974359,61.916666666666664,0.0,29514.5,26069.0625,301641.28571428574,175889.88888888888,196824.375,467008.8333333333,25412.176470588234,23737.0,34585.5,0.0,100995.28048780488
4679,2023-05-09,27962.92,27516.13,27781.0,27679.75,1820150.0,39750.0,18930269.0,45809379.24560305,39328759.952142,59.483870967741936,75.35,0.0,8470.666666666666,8473.333333333334,42550.0,324279.6,368749.0,1513512.5,8496.0,25802.0,11382.0,0.0,177128.65454545454
