,time,OpenInterest_long,OpenInterest_short,TradingVolume_usd,liquidate_short,liquidate_long,high,low,open,close
155,2022-05-01,3694962.9485665606,2805910.491512944,3223417.779040714,0.0,0.0,38668.0,37461.76,37650.13,38480.53
156,2022-05-02,3563523.2700061817,2759121.2179275462,6069346.471565208,0.0,0.0,39155.96,38057.31,38480.53,38513.01
157,2022-05-03,3956326.406296427,2701759.5460123643,2589026.406351268,196.49110136239253,0.0,38644.5,37519.23,38513.01,37725.38
158,2022-05-04,3371316.662099798,3037201.4870385667,5961136.403681313,0.0,0.0,40004.37,37665.8,37725.38,39680.21
159,2022-05-05,4476051.94984376,3271449.6661133943,6209102.894029761,4776.494809411488,0.0,39831.19,35616.74,39680.21,36546.86
160,2022-05-06,4179202.2621747945,3330307.0451292973,5302842.881682096,21651.589477621197,0.0,36654.02,35318.86,36546.86,36009.89
161,2022-05-07,4253495.894592107,3304391.9230308044,1710071.3861288796,30046.23866873645,0.0,36129.02,34837.06,36009.89,35469.21
162,2022-05-08,4498315.12798648,3303437.695349894,3907640.294995913,17124.66988932176,0.0,35503.12,33732.4,35469.21,34033.77
163,2022-05-09,5194324.628576816,3300572.922957059,9863940.082871454,82306.93971741453,0.0,34229.57,30068.1,34033.77,30076.9
164,2022-05-10,5027143.396169338,3368933.0738383313,10808126.932824314,4389.967727599267,3336.0003200866736,32625.41,29836.19,30076.9,31013.12
165,2022-05-11,5652886.9883999955,3417965.1221739617,16125907.652554879,59847.826198028306,0.0,32136.04,28087.41,31013.12,29017.21
166,2022-05-12,5060650.250830021,5708587.552355052,7997540.992389849,20073.63471689444,0.0,30085.67,25835.61,29017.21,28915.72
167,2022-05-13,3488658.5268739327,3935400.405818835,10631784.636251144,0.0,0.0,30964.26,28700.17,28915.72,29244.83
168,2022-05-14,3525725.798231525,3981570.3656378444,837781.7358596895,0.0,0.0,30274.18,28588.99,29244.83,30050.31
169,2022-05-15,3471689.720099763,3988167.7892529685,651799.3299276932,0.0,0.0,31406.35,29462.91,30050.31,31296.11
170,2022-05-16,3515415.2821814707,3988429.9019669797,923208.8291851948,0.0,0.0,31296.19,29104.45,31296.11,29838.5
171,2022-05-17,3489046.447898914,3977372.820029907,592866.8868570467,0.0,0.0,30744.47,29434.76,29838.5,30415.91
172,2022-05-18,3675212.8455298557,3930407.3376702997,2066533.6334491568,0.0,0.0,30673.66,28610.2,30415.91,28667.29
173,2022-05-19,3429527.184763267,3984374.8141487767,2729534.3443938047,0.0,0.0,30505.0,28653.17,28667.29,30282.48
174,2022-05-20,3478455.0533966385,4073232.621105873,2977375.3096490954,3449.3079208508966,0.0,30725.44,28698.31,30282.48,29166.15
175,2022-05-21,3395476.4447120354,4047730.9185696575,1177028.7508355915,0.0,0.0,29613.15,28924.28,29166.15,29410.72
176,2022-05-22,3242272.6207291987,4109073.163186724,2131656.219473137,0.0,0.0,30454.36,29219.51,29410.72,30264.29
177,2022-05-23,3607906.2164688604,4113112.7597723454,3598704.1567490343,122.2943169143432,0.0,30634.84,28861.27,30264.29,29075.68
178,2022-05-24,3637756.4920568364,4292453.236557745,3045408.324488814,0.0,0.0,29800.48,28629.55,29075.68,29630.05
179,2022-05-25,3603935.4584041564,4290996.5686995955,1930231.135149957,0.0,0.0,30189.17,29321.43,29630.05,29508.27
180,2022-05-26,3715146.569176472,4329524.9351544855,2990936.043742376,1369.9742289860621,0.0,29848.6,28060.72,29508.27,29188.71
181,2022-05-27,3940668.537820613,4348260.655920733,3972650.5958250468,9.54248599875468,0.0,29359.16,28251.91,29188.71,28597.33
182,2022-05-28,3799564.8943411643,4349054.836296774,1174662.9853802652,0.0,0.0,29234.85,28504.59,28597.33,29013.53
183,2022-05-29,3760690.3575959057,4422821.925626866,1033731.5295811836,0.0,0.0,29548.72,28820.15,29013.53,29452.23
184,2022-05-30,3289925.936481823,4469302.114067158,4219974.063535801,0.0,3316.941275731324,32161.5,29287.63,29452.23,31716.41
185,2022-05-31,3261504.3038960584,4479111.881623294,2516165.1083636736,0.0,0.0,32367.02,31203.31,31716.41,31782.16
186,2022-06-01,3249694.445113329,4485266.917988792,5111919.4234739095,2522.000460895718,0.0,31956.43,29324.1,31782.16,29789.58
187,2022-06-02,3148491.7369568776,4684660.870374965,2606032.9649521587,0.0,0.0,30647.18,29574.16,29789.58,30439.63
188,2022-06-03,3357469.011378562,4669616.907676014,1763969.866406377,0.0,0.0,30676.7,29249.37,30439.63,29680.3
189,2022-06-04,3333614.142493981,4672546.1491738055,722121.6976459867,0.0,0.0,29953.65,29466.57,29680.3,29845.48
190,2022-06-05,3350399.7927587153,4716246.831983432,1044154.1825298946,93.9791932904984,0.0,30151.31,29516.97,29845.48,29897.9
191,2022-06-06,3038829.721198859,4836914.255425238,2965002.6604229067,0.0,1105.6771879276744,31740.27,29876.22,29897.9,31353.78
192,2022-06-07,3121460.16906193,4828357.818538409,4500090.041051508,35.0481185076332,0.0,31551.28,29210.15,31353.78,31111.75
193,2022-06-08,3261814.3479873585,4767193.378183393,3823210.2129489677,0.0,0.0,31305.48,29839.64,31111.75,30189.27
194,2022-06-09,3288830.264714307,4764626.121765958,1788540.4475990008,0.0,0.0,30677.87,29924.47,30189.27,30082.94
195,2022-06-10,3276930.5980606843,4526345.580080713,3484236.6320300163,1242.045064912474,0.0,30336.9,28839.92,30082.94,29067.38
196,2022-06-11,3135299.5637951978,4529584.785514947,3243517.4641919592,319027.68887791265,168.74593857816373,29414.37,28105.18,29067.38,28389.49
197,2022-06-12,3564535.0085175363,4555882.107659179,5087913.392542394,967.6771054527933,0.0,28519.32,26570.67,28389.49,26587.35
198,2022-06-13,4086694.0841575246,4686228.3313025925,17454406.006952565,16261.83958474647,0.0,26871.6,21976.15,26587.35,22471.59
199,2022-06-14,4161862.4677551943,4667637.484986097,12837786.810115281,312.07734773867753,0.0,23214.28,20837.64,22471.59,22118.37
200,2022-06-15,4365316.115486935,6086254.141390985,4997512.5014573615,4683.060008039213,1640.6890989773492,22743.84,20083.9,22118.37,22566.73
201,2022-06-16,4445577.234854488,6140687.125730584,860014.607059996,0.0,0.0,22961.17,20209.17,22566.73,20372.85
202,2022-06-17,4504882.746496945,6199516.109366355,660305.2054616316,0.0,0.0,21330.5,20221.24,20372.85,20432.26
203,2022-06-18,4476406.018714577,6218394.706477439,1279994.923428742,17524.917116128974,0.0,20722.69,17600.75,20432.26,18954.25
204,2022-06-19,4504371.148444188,6233617.971231411,1939985.2136773039,0.0,150.901808215577,20776.87,17936.0,18954.25,20553.48
205,2022-06-20,4484936.274187588,6264284.987328614,1185741.9889059123,0.0,0.0,21016.02,19616.32,20553.48,20550.91
206,2022-06-21,4481416.506332892,6256988.532758889,1268082.6457902463,0.0,0.0,21694.7,20339.03,20550.91,20699.21
207,2022-06-22,3611147.286763062,5182851.985647467,3409782.3888691016,0.0,0.0,20862.67,19756.23,20699.21,19956.16
208,2022-06-23,3843195.13208468,5479114.16008396,1409817.9656126683,0.0,0.0,21195.95,19870.07,19956.16,21098.41
209,2022-06-24,3704398.471156473,5368050.837613961,1535507.5359522228,0.0,760.7841246599111,21528.86,20717.47,21098.41,21219.46
210,2022-06-25,3735370.8316312884,5357080.699954132,582348.2273147679,0.0,0.0,21587.06,20902.05,21219.46,21474.19
