time,open,close,low,high,TradingVolume_binance,liquidate_long_binance,liquidate_short_binance,OpenInterest_long_binance,OpenInterest_short_binance,TradingVolume_bybit,liquidate_long_bybit,liquidate_short_bybit,OpenInterest_long_bybit,OpenInterest_short_bybit,TradingVolume_GMX,liquidate_long_GMX,liquidate_short_GMX,OpenInterest_long_GMX,OpenInterest_short_GMX,TradingVolume_perp,liquidate_long_perp,liquidate_short_perp,OpenInterest_long_perp,OpenInterest_short_perp,TradingVolume_GNS,liquidate_long_GNS,liquidate_short_GNS,OpenInterest_long_GNS,OpenInterest_short_GNS
2023-02-05,23740.2,22929.2,22484.2,24281.4,3187838.58499477,19142839.92980001,16493088.718100008,2352730818.2000003,2352730818.2000003,908011.9519974214,15128738.076500002,9069309.495000001,1131609840.812,1131609840.812,521513406.56031895,562851.709225915,1632188.6520110087,57302026.62497298,23101619.98486756,8327549.157346919,8317.100071467934,4238.64127740335,4980635.769286508,9782807.4662658,45733377.0,1378661.0,461472.0,40226708.21762563,29208487.582008854
2023-02-12,22929.3,21771.1,21405.0,23450.0,2886031.4219973055,19353319.744100004,13405737.612600006,2155186959.4931,2155186959.4931,789596.2369987677,7455375.534400004,9783307.0086,1073775907.8456,1073775907.8456,618321231.780555,1181483.7123148919,4896.2905098466,34192052.85558119,29620360.508443505,7548268.019224777,940.7543816610788,1651.722010829537,5117757.966864598,9845493.467490507,21047824.0,590081.0,146322.0,35698199.51667864,35366527.847170085
2023-02-19,21771.0,24265.9,21338.0,25290.0,4621708.687008243,31469413.946799975,37169118.16019997,2595550015.9422,2595550015.9422,1366039.5179888036,16366333.656199992,17659866.465399995,1118792227.3808,1118792227.3808,628049977.4178401,23607.8210437042,117330.42196286567,73683652.45060687,22407388.90551921,11885747.032133661,262544.88591050764,132508.27059041493,4799797.414839818,9815990.237586595,61986446.0,842000.0,256168.0,44558502.72634887,30207893.192168903
2023-02-26,24267.1,23545.3,22700.0,25347.6,4266927.754007126,36458929.57289996,26611207.980600007,2513906817.1632,2513906817.1632,1179198.5239925669,20106268.816000007,15603085.999399997,1184367564.9301,1184367564.9301,500047689.3699841,227067.6494250407,5016.117445814288,8703070.277759064,25680876.892130528,12065070.72181545,166.6738759219977,300.28535716325075,4866348.014748434,9968054.846822696,30604395.0,1407486.0,807644.0,43144375.86515188,30053307.52350814
2023-03-05,23545.2,22419.4,21883.2,24022.7,3136167.645996016,25263528.169899993,14378080.65330001,2229491628.15,2229491628.15,868223.9829967532,10476260.4408,11477852.8112,1133256887.631,1133256887.631,256615138.29304048,3071429.515800906,6222.7259443657,10204036.527522586,37178783.73350083,9006033.651610432,1241.5661483427386,2500.175189356269,4935610.630339241,9854016.584445693,31310824.0,1010068.0,324933.0,37755343.97755288,39103624.85648838
2023-03-12,22419.3,21986.2,19521.6,22594.5,5220171.832011749,34257726.87839996,26367563.19749996,1925302995.9124,1925302995.9124,1470868.5939935157,14579697.548399998,17422847.875500005,1093298159.0331,1093298159.0331,599250714.3319275,1746594.0714868233,6497333.81011339,27880130.09619606,10759116.14656341,17443799.27187883,65444.79878249789,115486.44777364665,5085902.78554169,9977684.941011615,39635369.0,2756718.0,1514725.0,41579854.18181109,36790902.81256116
2023-03-19,21986.2,27955.7,21804.0,28397.0,7784914.098008165,51601512.23359991,53910898.38009984,3131239093.9703,3131239093.9703,2215728.724983258,34618389.29089999,35024198.49569998,1511871544.1358,1511871544.1358,993155273.1560891,926057.6578820492,8934827.426516553,42132227.44083007,15902886.220412478,26791931.081530318,409037.9418231666,250661.84620378265,5065514.600397999,10125464.092230542,81987366.0,2149615.0,1720027.0,55054383.88068105,35826254.87893795
2023-03-26,27955.8,27954.3,26590.0,28881.0,4940124.2010144,32238151.596799966,28608088.172000002,2863739295.2058,2863739295.2058,1400068.2019914512,20546808.569700003,16018085.100900004,1465203641.2991998,1465203641.2991998,830692733.3337969,498059.4977219483,221545.55572051974,66963665.70399642,29271469.110870272,15242215.206356311,41765.17296935514,60690.36550459138,5188429.133999038,10250016.719985023,9248193.0,7220.0,271495.0,45302935.87031695,28779708.287472323
2023-04-02,27954.2,28161.2,26480.0,29184.8,3838514.2760026897,20174347.851800002,21617616.750200015,2954738353.5004,2954738353.5004,1123210.3549957538,14046833.889699997,10658253.742200002,1519950029.5122,1519950029.5122,1138548923.459791,1021931.9592076504,237028.39167982154,67360124.32992034,34277314.68835964,17588382.501533896,6802.716439060102,3918.3718363960193,5347451.184280756,10294877.107692853,23689158.0,0.0,1710006.0,49117370.04713454,32728569.61573826
2023-04-09,28161.3,28309.4,27166.0,28800.0,2757654.962997723,14810136.232000008,14125809.732700001,2935242728.719,2935242728.719,785987.7759979949,7248285.5051000025,8223872.113200001,1536373477.2758,1536373477.2758,856533694.1628432,939931.996114754,17747.015732896754,68180667.29459313,38633832.800822765,14447368.268337438,5488.858485953641,4579.673805850952,5134062.339698325,10162657.786522005,6381904.0,0.0,118719.0,46406969.98407005,36331858.68386186
