time,leverage_long_GMX,leverage_short_GMX,less_than_1X_GMX,1X_5X_GMX,5X_10X_GMX,10X_15X_GMX,15X_20X_GMX,20X_25X_GMX,25X_30X_GMX,30X_35X_GMX,35X_40X_GMX,40X_45X_GMX,45X_50X_GMX,more_than_50X_GMX,leverage_long_GNS,leverage_short_GNS,less_than_1X_GNS,1X_5X_GNS,5X_10X_GNS,10X_15X_GNS,15X_20X_GNS,20X_25X_GNS,25X_30X_GNS,30X_35X_GNS,35X_40X_GNS,40X_45X_GNS,45X_50X_GNS,more_than_50X_GNS
2022-08-28,15.079432813789508,16.541336392876435,89383.04545845395,2608322.7393263904,12714121.278197112,14348600.250976076,13796267.855543595,4384003.245646736,42180011.14632497,0.0,0.0,0.0,0.0,0.0,75.07465409241442,62.147683239766245,0.0,45030.06197478992,88580.33333333333,162960.30900464454,128396.04945054946,291349.7228976267,310846.4944444444,97096.65,30109.39880952381,138010.80303030304,53149.333333333336,185174.91825270894
2022-09-04,21.007034385127152,12.976479864802855,89824.4198388667,3961483.221211278,6683281.39949085,2958679.1556509775,13485498.870401032,5679468.635245186,42269768.307434715,0.0,0.0,0.0,0.0,20261.88,77.00466175046697,63.74603014551537,0.0,156818.82987012988,144796.14102564103,59787.606060606064,29864.25,152010.09200603317,27855.555555555555,101772.54761904762,32955.694444444445,34714.96428571429,63857.83333333333,225502.06735651268
2022-09-11,14.782153300534643,12.76076924756485,169158.33312938904,9851473.473563751,8299145.39477088,10280087.893926233,12547673.656030595,9345793.526990708,50994167.78791628,0.0,2508.748,0.0,8643.432,95290.0,75.70522942368622,72.43615012268222,0.0,284382.34065934067,347441.5193277311,143460.0372294372,46760.7311942959,69300.83203661327,64928.15909090909,51487.70750609544,27519.619047619046,68091.12380952381,61817.12698412698,135132.9373926494
2022-09-18,16.12307906068258,14.850386869299223,717994.0233113201,20626620.477448434,36778803.123610705,34573644.34817144,36488738.00626348,33656221.44413469,244268906.89824378,14102.064491840001,13057.2,0.0,0.0,0.0,66.47313683824481,69.5919023614989,0.0,97409.67261904762,208850.36798105275,278300.6082917083,141122.18492063493,123579.64523809524,29531.333333333332,79494.67640169815,20504.2,658604.8666666667,265477.6,194537.1704401828
2022-09-25,12.806033180723034,10.601360448572605,77288.30012423667,22404267.749866378,35847035.83895587,15828726.53989394,16781588.37402011,17328921.096086033,79592218.17566848,12487.81913195,0.0,0.0,0.0,1360.5300000000002,75.84798918972832,73.73546723575905,0.0,101622.26837606837,355665.2263888889,300547.8178184592,616818.615551048,468128.02149029355,55754.148160173165,98776.95437394147,27014.557142857142,54958.00708180708,59496.555555555555,241769.6078544321
2022-10-02,16.06221423369903,9.721821534495351,113807.78680588391,34369837.5956081,16047201.046554757,7428053.266801875,9223731.932001725,11574509.55155049,118359888.99733026,31188.3731638,0.0,0.0,0.0,3352.300174156712,77.94366389640125,70.5546826624566,0.0,222471.07081807082,357880.1247863248,469988.50169779285,295735.2692679976,339140.64806674805,336516.55728744937,98579.87227427657,112292.54761904762,192723.67944221167,118842.9862745098,125835.2174879602
2022-10-09,14.347317770175232,13.811600839182573,63104.92034275463,11285281.024668783,11035221.72290961,23918660.13394227,14877372.656344412,12300105.483218966,94719628.88475926,30718.460122,779.6400000000001,0.0,0.0,3859.7367436699997,75.92649833593211,67.44472435810188,0.0,350707.73411000764,324647.22588522587,261461.06116252168,149300.3059660646,176748.64658348187,874276.2049966052,33108.407957559684,44085.34523809524,81097.46547619047,47386.05414585414,158168.5485064715
2022-10-16,12.774657651921828,11.227754435836447,97730.69445583549,8921587.440486949,7512074.792407639,29763111.12751375,5937576.372228021,4059019.5682298187,35156826.55018663,1560.617493,475.775,0.0,0.0,3837.410180972,79.82694998244891,82.87307550504144,0.0,76674.4603021978,68249.73333333334,367275.4510049474,185668.65340909094,214082.21825396828,88162.29560052861,101849.19523809524,79422.33333333333,92335.69047619047,62220.0,181169.81704514747
2022-10-23,14.808666427528635,19.011352313926466,48758.335073976,2921303.219014138,7297588.089885484,4531077.050110214,9839080.493276197,5961949.882703422,48540942.43617731,0.0,0.0,0.0,0.0,514.33647616,71.02094032030524,75.97836989254021,0.0,144043.36623376622,119342.74107142857,157526.0277605245,167945.3630952381,60393.8282051282,1240039.2738095238,77362.52698412698,50777.8,47173.78333333333,49488.69642857143,172975.1673777459
2022-10-30,11.29438491339042,12.597248549824927,96448.37551010783,10110321.494260909,14592923.534508344,7418699.078155505,24567749.47385945,3953445.5194208873,32952471.430591244,0.0,0.0,1994.202,0.0,10408.5,70.68270270237221,67.42288831599548,0.0,254097.57794117648,240965.77188914028,148380.23264957266,208984.86666666667,88016.47948396634,523034.8227272727,74758.88686868687,19773.6,151002.46666666667,170434.6,113935.11457888821
2022-11-06,15.510659155841973,12.220797777820232,31121.656176342705,3289206.9690531036,4778604.252107387,4915594.048274669,25246039.03675451,7351827.886375269,19179419.057200488,2139.136491832904,0.0,0.0,561.9240044464145,1038.3828458282367,73.76759421932535,82.72476944028303,0.0,208722.1075702076,50294.78759018759,151334.2027167277,89059.79423076923,107696.06746031746,36385.266407203904,59923.50377955378,61431.15476190476,155909.95670995672,45156.7,160165.26351773227
