,symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
1117,PERP_FLOW_USDT.W,W,PERP_FLOW_USDT,FLOW,USDT,,True,True,STABLE,BASE_ASSET,False,True
1118,DOTUSD_PERP.3,3,DOT-USD-SWAP,DOT,USD,,True,True,COIN,QUOTE_ASSET,False,True
1119,DOTUSDT_PERP.F,F,DOTF0:USTF0,DOT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1120,EOS-USD.8,8,EOS-USD,EOS,USD,,True,True,STABLE,BASE_ASSET,False,True
1121,LAI_USDT.Y,Y,LAI_USDT,LAI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1122,BTCUSDT_PERP.F,F,BTCF0:USTF0,BTC,USDT,,True,True,STABLE,BASE_ASSET,False,True
1123,WAVESUSDT_PERP.4,4,WAVES-USDT,WAVES,USDT,,True,True,STABLE,BASE_ASSET,False,True
1124,BAT_USDT.Y,Y,BAT_USDT,BAT,USDT,,True,True,STABLE,BASE_ASSET,False,True
1125,WOOUSDT_PERP.4,4,WOO-USDT,WOO,USDT,,True,True,STABLE,BASE_ASSET,False,True
1126,UNIUSDT_PERP.3,3,UNI-USDT-SWAP,UNI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1127,PERP_SUI_USDT.W,W,PERP_SUI_USDT,SUI,USDT,,True,True,STABLE,BASE_ASSET,False,True
1128,PERP_AVAX_USDT.W,W,PERP_AVAX_USDT,AVAX,USDT,,True,True,STABLE,BASE_ASSET,False,True
1129,REN_USDT.Y,Y,REN_USDT,REN,USDT,,True,True,STABLE,BASE_ASSET,False,True
1130,DASHUSDT_PERP.3,3,DASH-USDT-SWAP,DASH,USDT,,True,True,STABLE,BASE_ASSET,False,True
1131,SANDUSDT_PERP.F,F,SANDF0:USTF0,SAND,USDT,,True,True,STABLE,BASE_ASSET,False,True
